15 1902 5665
0 171 0.500759 -0.214464
0 171 0.462031 -0.209182
0 170 0.469072 -0.209182
0 170 0.277191 -0.163406
0 170 0.468016 -0.210238
0 170 0.231421 -0.0369957
0 172 0.0328503 0.108781
8 172 -0.0571402 0.304419
0 170 0.231844 -0.0378407
0 173 0.175568 0.289207
8 173 0.0953829 -0.148197
9 151 -0.354492 -0.306895
0 174 0.31869 0.131583
9 174 -0.354492 -0.307139
0 175 0.322765 0.13362
9 175 -0.354696 -0.306528
0 174 0.341102 0.148903
0 151 0.239229 0.222261
0 176 0.14306 -0.336482
9 176 -0.356264 -0.306578
0 174 0.244526 -0.139638
0 174 0.33988 0.147681
9 158 -0.354785 -0.306014
0 151 0.343792 0.15086
0 151 0.451469 -0.260239
9 154 -0.355841 -0.307423
0 174 0.395136 -0.235591
0 174 0.359929 -0.214464
0 177 -0.0696038 0.0267378
9 177 -0.203393 0.132373
0 178 -0.0203131 0.1535
9 178 -0.333302 -0.278
0 174 0.358169 -0.214463
0 174 0.453229 -0.206013
0 179 -0.123049 -0.184885
9 179 -0.36036 -0.292223
0 175 0.209029 0.0737105
0 151 0.320567 0.134557
0 151 0.363661 0.172585
0 176 0.46151 -0.264492
0 179 -0.122542 -0.185393
0 151 0.364168 0.170557
0 175 0.170092 0.129182
0 180 0.14958 -0.111925
10 180 -0.27014 -0.162868
0 181 -0.0490742 -0.0324541
10 181 0.00609253 0.0337802
0 182 0.216816 0.192714
10 182 -0.29458 -0.155308
0 183 0.174029 0.19679
10 183 -0.294346 -0.155777
0 182 0.252839 -0.358245
0 184 0.39807 -0.211529
10 184 -0.300703 -0.304694
0 182 -0.216595 -0.0662802
0 185 -0.187549 -0.0771372
10 185 -0.29459 -0.156755
0 182 -0.216419 -0.0665736
0 185 -0.119246 -0.0644609
0 183 0.389855 0.23977
0 186 -0.176283 -0.245732
10 186 -0.29459 -0.156755
0 185 -0.171213 -0.240661
0 185 -0.188957 -0.0784048
0 186 -0.177297 -0.246239
0 185 -0.189464 -0.0789118
0 182 -0.216842 -0.0667426
0 185 -0.1195 -0.0637003
0 185 0.202945 0.124923
0 185 -0.0708289 -0.305259
0 186 -0.176688 -0.246847
0 186 -0.169388 -0.239546
0 185 -0.187639 -0.0789118
0 187 -0.0327744 0.0133947
11 187 -0.331265 -0.366641
11 137 -0.33102 -0.367048
0 188 0.478021 -0.264347
11 188 -0.331265 -0.367048
0 187 0.0990503 0.117115
0 187 0.202962 0.213948
0 188 0.238169 0.221283
0 189 -0.0420245 0.249159
11 189 -0.266473 -0.157978
0 137 -0.252683 -0.297211
0 188 -0.252331 -0.292634
0 188 0.478579 -0.267281
0 187 0.155373 -0.00741772
0 188 -0.239656 -0.276155
0 187 -0.110374 -0.0353055
0 187 0.36721 -0.184784
0 187 -0.0562276 0.0123573
0 190 0.144486 -0.263736
12 190 -0.210434 -0.320099
12 147 -0.210035 -0.319773
0 191 -0.0286995 -0.205661
12 191 -0.210082 -0.320099
0 192 0.110868 -0.165925
12 192 -0.210758 -0.319254
12 174 -0.209261 -0.320099
12 106 -0.210239 -0.319366
0 147 -0.130777 -0.210551
0 192 0.110053 -0.166536
0 192 -0.0941024 -0.0185975
0 106 0.317875 0.130564
0 193 0.221299 0.169688
12 193 0.231421 -0.208125
0 106 0.461151 -0.208595
0 190 0.290981 -0.171916
0 190 0.270443 -0.160179
0 194 -0.0390905 0.122984
12 194 0.0914709 0.090706
0 174 0.317386 0.130319
0 106 0.323254 0.133254
0 190 0.22614 -0.128194
0 147 0.233182 -0.0436859
0 192 0.315919 0.00913185
0 191 0.292682 -0.176435
0 191 0.288457 -0.172209
0 174 0.322257 0.132021
0 192 -0.0824897 -0.316719
0 192 -0.0774198 -0.311648
0 106 0.236914 -0.0479817
0 192 -0.0556192 -0.288831
13 3 -0.0366456 -0.0785066
0 195 -0.167248 -0.0762651
13 195 -0.0541679 -0.0905292
0 195 -0.171323 -0.0752462
0 195 -0.118348 -0.0650576
0 195 -0.09288 -0.054869
0 195 -0.0735239 -0.0456993
0 196 -0.118552 -0.0650576
13 196 -0.0537604 -0.0907329
0 195 -0.0928799 -0.0552765
0 196 -0.0733202 -0.0454955
0 197 0.11861 -0.0418276
13 197 0.246208 0.0855416
0 3 -0.0170858 -0.251143
0 195 -0.0933689 -0.0560101
0 195 -0.0566944 -0.036937
0 3 -0.0167924 -0.251436
0 195 -0.117134 -0.0119953
0 3 -0.0178486 -0.252492
0 198 0.219169 0.190332
13 198 0.0220338 -0.0919556
0 199 0.524475 -0.30449
14 199 0.245504 0.0848374
14 96 0.245749 0.0841038
0 96 -0.0144371 -0.18834
0 96 -0.0134184 -0.186302
0 200 -0.000174789 -0.165925
14 200 0.245504 0.0848373
0 96 -0.0847301 -0.162868
0 199 0.00186269 -0.161849
0 200 0.0171438 -0.138416
0 96 0.0191812 -0.135359
0 200 0.0191812 -0.132303
0 200 0.0202 -0.130265
0 96 0.0558558 0.136677
0 96 0.171992 0.140752
0 200 -0.0562054 0.190677
0 199 0.229041 0.234488
0 199 0.228023 0.237544
0 200 0.523253 -0.304694
0 96 -0.0757651 -0.301026
0 199 0.520808 -0.297358
0 200 -0.0342006 -0.214219
0 96 0.00125147 -0.162868
0 96 0.0195888 -0.134748
0 200 0.0195888 -0.13108
0 96 0.00247397 -0.0895103
0 96 0.298316 0.0400889
0 96 0.232301 0.130564
0 200 -0.0268657 0.151349
0 199 0.227411 0.236933
0 96 -0.0508264 -0.268748
0 200 -0.209261 -0.251143
0 199 0.00198493 -0.163113
0 96 0.0195888 -0.135237
0 200 0.0195888 -0.132303
0 200 0.0210557 -0.129368
0 96 0.229367 0.130319
0 200 0.232301 0.130319
0 200 -0.0258877 0.152327
0 199 0.298316 0.155261
0 96 -0.0610953 0.175801
0 200 -0.0625623 0.186071
0 199 0.507801 -0.283127
0 96 -0.136498 -0.198618
0 200 0.0184152 -0.136997
0 96 -0.0449585 -0.11411
0 199 0.229661 0.130613
0 96 0.196214 0.248573
0 96 0.171568 0.310193
0 96 -0.0748849 -0.117279
0 96 -0.019961 -0.0919262
0 96 0.0117258 -0.0644609
0 96 -0.093897 -0.00319228
0 96 0.210297 0.117232
0 96 0.203959 0.12357
0 96 0.0666496 0.31794
0 199 -0.153468 -0.227985
0 199 -0.148398 -0.222914
0 96 -0.021651 -0.0936163
0 96 0.209029 0.11681
0 200 0.203959 0.124416
0 96 0.0645372 0.31963
0 96 0.0660582 0.31963
1 201 -0.0918612 -0.104793
2 201 -0.129555 -0.0935858
1 202 -0.09288 -0.0813594
2 202 -0.129555 -0.0701519
1 203 0.273866 0.121394
2 203 0.232098 0.129545
1 204 -0.0449993 0.14279
2 204 -0.0775989 0.149922
1 205 0.256547 0.145847
